"Login","登陆"
"Logout","登出"
"Name","名字"
"Receive Daily Email","接受每日邮件"
"Email","电子邮件"
"Password","密码"
"Old Password","旧密码"
"New Password","新密码"
"Password Again","再次输入密码"
"submit","提交"
"Submit","提交"
"Setting","设置"
"Signup","注册"
"Forget","忘记密码"
"Reset Password","重置密码"
"Change Password","修改密码"
"Password Updating Success!","更新密码成功!"
"Password Updating Failed!","更新密码失败!"
"Update Your Info","更新信息"
"Update","更新"
"Edit","编辑"
"Back","返回"
"Title","标题"
"Content","内容"
"Post","发布"
"Reply","回复"
"discuss","讨论"
"Likes","赞"
"Help","帮助"
"Close","关闭"
"Invite Code","邀请码"
"Invite","邀请"
"support Markdown","支持Markdown语法"
